origin_time	origin_julday	origin_latitude	origin_longitude	origin_depth_km	approx_distance_km
2019-06-02T15:29:38.074000Z	153	56.0414	-149.4615	12.0	259.881
2019-06-08T14:51:03.235000Z	159	56.0161	-149.4998	12.1	260.29
2019-05-19T17:37:52.992000Z	139	56.047	-149.433	10.0	260.664
2019-06-15T15:27:59.178000Z	166	56.2281	-149.102	6.7	262.024
2019-05-20T01:05:04.297000Z	140	56.4863	-148.7592	24.5	262.205
2019-06-20T22:45:11.731000Z	171	55.4172	-151.3324	6.0	262.843
2019-06-06T21:01:29.530000Z	157	56.0012	-149.4645	11.9	263.005
2019-06-22T18:33:01.060000Z	173	55.4066	-151.3919	2.2	263.033
2019-05-17T09:10:08.088000Z	137	55.821	-149.8142	12.1	264.334
2019-06-21T19:11:52.663000Z	172	55.9624	-149.5061	18.2	264.432
2019-06-19T01:37:01.469000Z	170	55.4105	-151.2746	12.1	264.532
2019-06-19T07:42:16.735000Z	170	55.4128	-151.26	15.4	264.538
2019-06-20T15:43:38.386000Z	171	55.4085	-151.286	12.1	264.552
2019-06-18T22:48:39.506000Z	169	55.4084	-151.282	5.7	264.631
2019-05-29T21:33:14.193000Z	149	55.9908	-149.4378	12.9	264.989
2019-05-30T10:21:59.256000Z	150	56.4721	-156.2384	7.1	265.503
2019-06-06T14:47:37.122000Z	157	55.8742	-149.6434	12.3	266.281
2019-06-22T15:26:14.848000Z	173	56.1316	-149.1596	11.8	266.37
2019-06-06T14:58:47.024000Z	157	55.9248	-149.5334	11.9	266.43
2019-06-11T06:40:24.563000Z	162	55.8448	-149.7042	11.9	266.442
2019-05-20T23:55:28.141000Z	140	55.8714	-149.6368	11.9	266.784
2019-06-22T16:58:11.444000Z	173	57.1043	-156.7911	90.0	267.547
2019-06-07T01:29:07.988000Z	158	56.5035	-148.6317	12.2	267.874
2019-05-19T17:38:18.767000Z	139	56.0945	-149.18	15.9	268.224
2019-06-07T08:52:14.207000Z	158	56.5724	-148.5452	20.5	268.607
2019-06-05T00:45:35.846000Z	156	56.5744	-156.4075	79.7	268.615
2019-05-19T23:39:26.797000Z	139	55.9442	-149.422	11.6	269.465
2019-06-04T06:20:18.877000Z	155	56.5055	-156.359	87.0	269.879
2019-05-19T08:16:50.913000Z	139	55.9635	-149.3572	12.5	270.65
2019-06-02T00:23:10.865000Z	153	56.325	-148.7796	10.6	271.21
2019-05-22T02:29:16.653000Z	142	55.8462	-149.5695	12.1	271.63
2019-06-10T13:36:43.511000Z	161	56.523	-156.4128	68.0	271.738
2019-06-18T02:22:13.655000Z	169	56.0996	-149.0896	11.5	271.989
2019-05-19T10:09:25.700000Z	139	55.9339	-149.3797	14.5	272.099
2019-06-07T01:34:59.920000Z	158	56.4963	-148.5529	12.6	272.445
2019-06-03T09:04:35.631000Z	154	56.4604	-148.5924	2.8	272.447
2019-06-09T20:21:37.028000Z	160	56.4567	-148.5921	2.8	272.68
2019-06-04T17:05:13.246000Z	155	56.1075	-149.0605	12.3	272.75
2019-05-25T08:05:51.654000Z	145	55.8692	-149.4917	12.1	272.816
2019-06-07T10:41:57.789000Z	158	56.4328	-148.6165	20.3	272.826
2019-05-17T16:25:41.928000Z	137	56.4725	-148.5697	8.7	272.931
2019-05-27T22:25:50.909000Z	147	56.4346	-148.6121	11.9	272.947
2019-06-01T11:30:02.632000Z	152	56.0535	-149.1387	12.8	273.221
2019-05-30T18:34:24.318000Z	150	55.8778	-149.4357	12.2	274.394
2019-05-17T21:36:34.841000Z	137	56.1248	-148.9929	10.2	274.638
2019-05-19T08:22:39.237000Z	139	55.9241	-149.3364	11.7	274.739
2019-05-17T23:22:24.620000Z	137	56.1182	-148.9978	12.4	274.889
2019-06-11T03:51:50.962000Z	162	56.1625	-148.9265	12.1	275.07
2019-06-03T06:26:26.378000Z	154	56.4415	-148.5621	12.2	275.146
2019-06-03T08:47:08.060000Z	154	56.4725	-148.5266	4.4	275.2
2019-05-25T17:45:41.454000Z	145	55.8366	-149.4942	11.4	275.476
2019-05-27T23:19:08.979000Z	147	56.427	-148.5682	12.0	275.687
2019-06-15T15:11:28.839000Z	166	57.063	-156.9115	107.0	275.844
2019-05-22T02:32:53.992000Z	142	55.9566	-149.2422	12.1	276.179
2019-06-07T03:47:57.536000Z	158	56.4479	-148.5349	12.3	276.194
2019-06-06T02:32:01.948000Z	157	57.1332	-156.9557	92.5	276.304
2019-06-07T02:50:35.668000Z	158	56.4404	-148.539	12.1	276.419
2019-06-09T11:30:20.396000Z	160	56.3736	-148.6072	1.4	276.904
2019-06-07T01:25:02.472000Z	158	56.444	-148.5249	12.6	276.947
2019-06-10T14:05:13.174000Z	161	56.5775	-156.5658	61.7	276.977
2019-05-24T20:42:14.334000Z	144	56.1606	-148.8883	10.1	277.034
2019-05-20T12:04:56.313000Z	140	55.8713	-149.3808	11.9	277.214
2019-05-29T10:51:28.911000Z	149	56.4172	-148.544	5.2	277.533
2019-05-22T02:31:14.851000Z	142	55.8472	-149.4217	11.0	277.536
2019-05-30T13:28:17.326000Z	150	56.1109	-148.9458	11.8	277.866
2019-05-22T03:22:38.063000Z	142	55.8197	-149.4664	12.2	278.038
2019-05-29T10:57:59.529000Z	149	56.4173	-148.5246	12.1	278.538
